,,Paris Joaquin Velasco Acosta:L_Femur_L_Tibia,Paris Joaquin Velasco Acosta:L_Foot_L_Toe,Paris Joaquin Velasco Acosta:L_Tibia_L_Foot,,,Paris Joaquin Velasco Acosta:R_Femur_R_Tibia,Paris Joaquin Velasco Acosta:R_Foot_R_Toe,Paris Joaquin Velasco Acosta:R_Tibia_R_Foot,,,Paris Joaquin Velasco Acosta:Root_L_Femur,,,Paris Joaquin Velasco Acosta:Root_R_Femur,,,Paris Joaquin Velasco Acosta:World_Root,,,,,,Paris Joaquin Velasco Acosta:L_Femur_L_Tibia,Paris Joaquin Velasco Acosta:L_Foot_L_Toe,Paris Joaquin Velasco Acosta:L_Tibia_L_Foot,,,Paris Joaquin Velasco Acosta:R_Femur_R_Tibia,Paris Joaquin Velasco Acosta:R_Foot_R_Toe,Paris Joaquin Velasco Acosta:R_Tibia_R_Foot,,,Paris Joaquin Velasco Acosta:Root_L_Femur,,,Paris Joaquin Velasco Acosta:Root_R_Femur,,,Paris Joaquin Velasco Acosta:World_Root,,,,,,Paris Joaquin Velasco Acosta:L_Femur_L_Tibia,Paris Joaquin Velasco Acosta:L_Foot_L_Toe,Paris Joaquin Velasco Acosta:L_Tibia_L_Foot,,,Paris Joaquin Velasco Acosta:R_Femur_R_Tibia,Paris Joaquin Velasco Acosta:R_Foot_R_Toe,Paris Joaquin Velasco Acosta:R_Tibia_R_Foot,,,Paris Joaquin Velasco Acosta:Root_L_Femur,,,Paris Joaquin Velasco Acosta:Root_R_Femur,,,Paris Joaquin Velasco Acosta:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ,R',,RX',RY',RZ',R',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',TX',TY',TZ',R'',,RX'',RY'',RZ'',R'',,RX'',RY'',RZ'',RX'',RY'',RZ'',RX'',RY'',RZ'',RX'',RY'',RZ'',TX'',TY'',TZ''
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,deg/s,,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s,deg/s²,,deg/s²,deg/s²,deg/s²,deg/s²,,deg/s²,deg/s²,deg/s²,deg/s²,deg/s²,deg/s²,deg/s²,deg/s²,deg/s²,deg/s²,deg/s²,deg/s²,mm/s²,mm/s²,mm/s²
235,0,13.181,,-26.9541,3.41334,-17.1704,-2.19549,,37.2256,-20.8895,48.9214,-41.0235,-1.8494,1.33159,11.5741,-0.214176,7.82022,169.282,-6.56775,174.528,603.674,804.386,1980.42,-127.315,,-22.6508,-37.2104,58.3033,30.9827,,-6.40569,-0.458476,44.1944,-5.79576,0.0159869,-2.68875,46.6079,43.9663,7.94249,-10.8463,29.1516,-5.17728,-99.3609,-156.236,-1151.06,3086.64,,38.1466,1382.9,-325.049,-460.48,,601.535,333.826,-2374.58,1113.7,2384.07,336.135,736.687,23.3954,71.1193,142.614,-551.431,-526.061,901.222,4742.74,-5362.03
236,0,12.2983,,-27.1133,3.17273,-16.6688,-1.93863,,37.2334,-20.8549,49.1702,-40.9784,-1.6739,1.3328,12.1081,0.227135,7.88426,169.193,-6.33411,174.456,602.813,803.167,1968.42,-88.2683,,-15.9172,-24.0615,50.1681,25.6865,,0.776251,3.46632,24.8807,4.51271,17.5499,0.121759,53.3989,44.1311,6.40339,-8.95711,23.3636,-7.18809,-86.1645,-121.903,-1200.47,3904.65,,673.354,1314.89,-813.527,-529.628,,718.194,392.48,-1931.37,1030.85,1753.39,281.051,679.1,16.4823,-153.91,188.923,-578.803,-201.081,1319.65,3433.23,-4941.23
237,0,11.8298,,-27.1542,3.02916,-16.3043,-1.6971,,37.2998,-20.781,49.2424,-40.8409,-1.44973,1.34981,12.7049,0.686397,7.89221,169.148,-6.11556,174.409,601.92,802.196,1955.96,-46.8477,,-4.08684,-14.3572,36.4418,24.1528,,6.64202,7.38395,7.226,13.7519,22.4173,1.70085,59.6809,45.9262,0.794778,-4.53798,21.8549,-4.72239,-89.2818,-97.096,-1246.04,4142.07,,1183.04,970.427,-1372.63,-153.369,,586.577,391.763,-1765.47,923.92,486.735,157.909,628.198,179.513,-560.861,441.913,-150.866,246.57,-311.732,2480.75,-4556.18
238,0,11.7299,,-27.0151,2.96553,-16.0431,-1.43868,,37.405,-20.6524,49.1723,-40.6092,-1.26391,1.37372,13.3749,1.1932,7.8489,169.172,-5.87413,174.381,600.95,801.409,1943,-9.99001,,13.9073,-6.36307,26.1202,25.8418,,10.5175,12.8614,-7.00777,23.1731,18.5825,2.39089,67,50.6806,-4.33017,2.48482,24.1426,-2.85502,-96.9887,-78.702,-1296.04,3685.77,,1799.41,799.412,-1032.16,168.899,,387.545,547.747,-1423.38,942.122,-383.476,69.0041,731.907,475.436,-512.495,702.28,228.769,186.737,-770.688,1839.4,-5000.83
239,0,11.939,,-26.8702,2.88196,-15.8608,-1.14351,,37.5474,-20.4637,48.9924,-40.2073,-1.29477,1.4385,14.0949,1.73211,7.73379,169.262,-5.60859,174.39,599.916,800.935,1929.54,20.9045,,14.4899,-8.35676,18.231,29.5172,,14.2382,18.8747,-17.9914,40.1912,-3.08627,6.47789,72.0074,53.8909,-11.5113,9.01312,26.5543,0.980815,-103.444,-47.4632,-1345.71,3089.45,,58.2615,-199.369,-788.921,367.548,,372.075,601.33,-1098.36,1701.81,-2166.88,408.7,500.746,321.027,-718.118,652.829,241.17,383.583,-645.518,3123.88,-4966.26
240,0,12.3659,,-26.8027,2.81055,-15.644,-0.763824,,37.7578,-20.2084,48.7845,-39.716,-1.40221,1.54118,14.7967,2.27689,7.61741,169.371,-5.35719,174.377,598.931,800.676,1915.58,42.6865,,6.74567,-7.1409,21.6819,37.9687,,21.038,25.5273,-20.7894,49.1275,-10.7442,10.2681,70.1755,54.4781,-11.6379,10.8764,25.1399,-1.37833,-98.4311,-25.8207,-1395.46,2178.2,,-774.424,121.586,345.095,845.151,,679.979,665.26,-279.799,893.628,-765.797,379.023,-183.195,58.7195,-12.6529,186.328,-141.445,-235.915,501.275,2164.24,-4975.8
241,0,13.0005,,-26.8761,2.74911,-15.4886,-0.241322,,38.0466,-19.8961,48.6065,-39.1817,-1.54189,1.62186,15.4221,2.82387,7.48107,169.479,-5.14458,174.374,597.932,800.704,1901.23,63.4615,,-7.34211,-6.14425,15.5402,52.2502,,28.8811,31.2232,-17.8077,53.4302,-13.9675,8.06789,62.5379,54.6975,-13.6342,10.7944,21.2609,-0.22403,-99.9391,2.77758,-1434.9,2077.5,,-1408.78,99.6653,-614.171,1428.14,,784.311,569.587,298.172,430.268,-322.322,-220.023,-763.76,21.944,-199.629,-8.19623,-387.899,115.43,-150.8,2859.83,-3943.44
242,0,13.9586,,-26.8912,2.73226,-15.6618,0.3848,,38.3696,-19.532,48.42,-38.6997,-1.66906,1.58561,15.9461,3.42203,7.25298,169.558,-4.96732,174.456,596.601,801.13,1886.61,95.8163,,-1.5023,-1.68486,-17.3193,62.6123,,32.3013,36.41,-18.6464,48.1948,-12.7177,-3.62504,52.3993,59.8164,-22.8091,7.91073,17.7264,8.19349,-133.055,42.5518,-1462.52,3235.48,,583.981,445.939,-3285.95,1036.21,,342.022,518.685,-83.8747,-523.534,124.979,-1169.29,-1013.86,511.895,-917.491,-288.371,-353.445,841.753,-3311.63,3977.42,-2762.08
243,0,15.3029,,-26.2163,2.94181,-16.1484,1.06507,,38.7467,-19.0956,48.2602,-38.466,-1.54222,1.44714,16.3147,4.06341,6.97017,169.53,-4.83236,174.593,595.056,801.811,1871.77,134.424,,67.492,20.9546,-48.6583,68.0265,,37.7088,43.6439,-15.9772,23.3732,12.6843,-13.8474,36.8629,64.1382,-28.281,-2.78535,13.4956,13.6918,-154.507,68.1758,-1484.3,3860.79,,6899.43,2263.95,-3133.9,541.425,,540.746,723.385,266.924,-2482.16,2540.2,-1022.23,-1553.65,432.176,-547.188,-1069.61,-423.083,549.83,-2145.17,2562.4,-2177.95
244,0,17.1121,,-24.2744,3.35933,-17.3044,1.91313,,39.3571,-18.5888,48.2929,-38.7486,-1.10365,1.10908,16.4892,4.58505,6.52699,169.431,-4.81273,174.915,593.436,803.359,1857.09,180.923,,194.186,41.7528,-115.598,84.8068,,61.0458,50.6856,3.26449,-28.2582,43.8567,-33.8055,17.4475,52.1634,-44.3177,-9.95705,1.96295,32.1552,-162.047,154.758,-1467.73,4649.85,,12669.4,2079.82,-6693.94,1678.03,,2333.71,704.175,1924.17,-5163.15,3117.24,-1995.81,-1941.53,-1197.48,-1603.68,-717.17,-1153.26,1846.34,-753.999,8658.17,1657.01
